Date,Source,news_data
29-08-2025,Economic Times,"Reliance Industries highlighted strong performance despite global energy market volatility, emphasizing resilience of diversified business model and continued focus on growth across digital, retail, and energy segments. (The Economic Times)"
12-01-2015,Economic Times,"INFY reported steady quarterly performance driven by large deal wins and stable client demand, while continuing its transition towards automation, digital services, and consulting-led revenue growth strategy."
24-04-2015,Reuters,"INFY announced strong earnings growth with improving margins, supported by cost optimization and higher contribution from digital services, reflecting early success of its strategic transformation under new leadership."
14-01-2016,Business Standard,"INFY reported stable revenue growth amid global IT spending slowdown, focusing on automation and artificial intelligence to improve efficiency and maintain competitiveness in evolving technology services market."
15-07-2016,Reuters,"INFY posted quarterly earnings with moderate growth, while increasing investments in digital transformation services, highlighting shift from traditional outsourcing toward high-value technology and consulting offerings."
13-01-2017,Economic Times,"INFY delivered steady earnings supported by digital services growth, though facing pricing pressure in traditional outsourcing segments as global clients increasingly shifted toward automation and cloud-based solutions."
18-08-2017,Reuters,"INFY CEO Vishal Sikka resigned amid governance disputes with founders, triggering sharp stock decline and raising concerns over leadership stability and corporate governance practices. (Moneycontrol)"
24-08-2017,Business Standard,"INFY appointed interim leadership following CEO resignation, aiming to stabilize operations and rebuild investor confidence while addressing governance concerns and internal conflicts between board and founders."
02-12-2017,Mint,"INFY appointed Salil Parekh as new CEO and managing director, signaling leadership reset and renewed focus on operational stability, client engagement, and sustainable growth strategy."
13-04-2018,Moneycontrol,"INFY under new CEO initiated strategic review, including plans to divest non-core acquisitions like Panaya and Skava, aiming to simplify operations and improve focus on core digital services business. (Moneycontrol)"
13-07-2018,Reuters,"INFY reported steady earnings recovery under new leadership, with improved client deal pipeline and focus on digital transformation services driving gradual improvement in revenue growth trajectory."
12-01-2019,Economic Times,"INFY delivered strong quarterly results supported by digital services growth and large deal wins, while maintaining stable margins and improving operational efficiency under renewed management direction."
12-07-2019,Reuters,"INFY reported consistent revenue growth with strong performance in digital services segment, reflecting successful execution of strategy focused on cloud, automation, and next-generation technology solutions."
12-01-2020,Business Standard,"INFY posted strong quarterly earnings with rising deal wins and robust demand for digital services, reinforcing its position as a leading global IT services provider amid evolving technology landscape."
15-04-2020,Reuters,"INFY announced measures to address COVID-19 disruptions, including cost controls and remote delivery models, ensuring business continuity while supporting clients during global economic uncertainty."
15-07-2020,Economic Times,"INFY reported resilient earnings despite pandemic challenges, driven by strong demand for digital transformation and cloud services as global enterprises accelerated technology adoption during crisis period."
07-06-2021,Reuters,"INFY launched India’s new income tax e-filing portal, aiming to modernize tax administration, but users soon reported glitches, raising concerns over execution quality and government project delivery. (Wikipedia)"
22-08-2021,Economic Times,"Finance Ministry summoned INFY CEO over persistent technical issues in the income tax portal, highlighting governance concerns and increasing scrutiny on large government technology projects executed by the company. (Wikipedia)"
13-10-2021,Business Standard,"INFY reported strong deal wins and revenue growth, supported by global demand for digital transformation services, while continuing investments in cloud, automation, and enterprise technology solutions."
13-01-2022,Reuters,"INFY posted steady quarterly earnings with strong large deal bookings, reflecting continued demand for digital services despite global uncertainties and strengthening its position in global IT services market."
21-10-2022,BBC News,"INFY terminated employees involved in “moonlighting,” reinforcing strict employment policies and sparking industry-wide debate on dual employment practices in India’s IT services sector. (Wikipedia)"
12-01-2023,Economic Times,"INFY reported strong quarterly performance driven by large deal wins and digital services growth, maintaining stable margins despite macroeconomic slowdown and cautious client spending environment globally."
20-07-2023,Mint,"INFY lowered revenue growth guidance citing weak global demand and slowdown in discretionary technology spending, reflecting challenges faced by IT sector amid economic uncertainty in key markets."
12-10-2023,Reuters,"INFY continued to secure large deal wins despite slowdown concerns, demonstrating resilience in enterprise digital transformation demand and maintaining strong deal pipeline across global client segments."
11-01-2024,Business Standard,"INFY reported stable earnings but highlighted margin pressures due to pricing challenges and increased costs, reflecting ongoing adjustment phase in global IT demand and competitive environment."
18-04-2024,Reuters,"INFY delivered quarterly earnings with moderate growth and cautious outlook, citing delays in client decision-making and reduced discretionary spending across major markets like the United States and Europe."
23-07-2025,Economic Times,"INFY reported 9% year-on-year profit growth with steady revenue increase, supported by large deal wins and operational efficiency, while maintaining cautious outlook amid uncertain global economic environment. (The Economic Times)"
16-01-2025,INFY IR,"INFY announced quarterly results with continued deal momentum and stable margins, highlighting strong client demand for digital services and consistent execution across key business segments. (INFY)"
14-05-2025,Times of India,"INFY completed stake sale in its Japan-based joint venture HIPUS, strengthening strategic partnership with Mitsubishi Heavy Industries and focusing on optimizing global business structure. (The Times of India)"
10-12-2025,Market News,"INFY promoter reduced stake through open market sale, reflecting portfolio rebalancing while company continued stable operations and maintained strong institutional investor participation. (scanx.trade)"
09-10-2025,INFY IR,"INFY announced schedule for quarterly earnings release, reflecting continued transparency and structured investor communication as part of its governance and reporting framework. (INFY)"
12-01-2015,Economic Times,"TCS became India’s most profitable company, surpassing Reliance Industries, reflecting strong earnings growth, operational efficiency, and global leadership in IT services and outsourcing business. (Wikipedia)"
16-04-2016,Economic Times,"A US jury imposed a $940 million fine on TCS in a trade secrets lawsuit involving Epic Systems, raising concerns over legal risks and corporate governance in international operations. (Wikipedia)"
03-10-2017,Times of India,"A US court reduced the penalty in the Epic Systems case to around $420 million, easing financial impact on TCS while still highlighting ongoing legal and compliance challenges. (Wikipedia)"
12-01-2017,Business Standard,TCS reported steady quarterly earnings supported by strong demand for outsourcing services and increasing adoption of digital technologies across global enterprise clients.
15-07-2017,Reuters,"TCS continued stable revenue growth with strong deal pipeline, focusing on digital transformation, cloud services, and automation to maintain leadership in global IT services market."
10-04-2018,Economic Times,"Tata Sons sold TCS shares worth over $1.25 billion in a bulk deal, reducing its stake while unlocking value and maintaining majority ownership in India’s largest IT services company. (Wikipedia)"
20-07-2018,Reuters,"TCS reported strong quarterly earnings driven by growth in digital services, including cloud, analytics, and automation, reflecting successful transition from traditional outsourcing to next-generation IT solutions."
11-01-2019,Business Standard,"TCS delivered consistent earnings growth supported by strong client demand and large deal wins, maintaining its position as a global leader in IT services and consulting."
20-04-2019,Reuters,"TCS continued expansion in digital services and enterprise solutions, strengthening its global client base and improving margins through operational efficiency and scalable delivery models."
24-07-2019,Economic Times,"TCS received multiple international business awards for innovation and service excellence, reinforcing its global brand strength and leadership in IT services and consulting industry. (Wikipedia)"
08-10-2020,Reuters,"TCS became the world’s most valuable IT company by market capitalization, surpassing Accenture, reflecting strong investor confidence in its digital capabilities and long-term growth prospects. (Wikipedia)"
15-04-2020,Economic Times,"TCS announced operational adjustments during COVID-19, shifting to remote work model while ensuring service continuity and supporting global clients amid widespread business disruptions."
10-07-2020,Business Standard,"TCS reported resilient earnings despite pandemic challenges, driven by strong demand for digital services and cost optimization initiatives across its global operations."
01-06-2020,Reuters,"TCS strengthened its cloud and digital offerings as enterprises accelerated digital transformation during pandemic, increasing demand for IT services, automation, and remote infrastructure solutions."
31-12-2020,Mint,"TCS ended the year with strong deal pipeline and stable margins, positioning itself for continued growth driven by digital transformation, cloud adoption, and global enterprise technology spending."
08-07-2021,Economic Times,"TCS reported strong quarterly earnings driven by robust demand for digital services, cloud adoption, and large deal wins as global enterprises accelerated technology spending during post-pandemic recovery phase."
11-10-2021,Business Standard,"TCS announced strong deal pipeline and revenue growth, reflecting continued global demand for IT services and reinforcing its leadership position in digital transformation and enterprise technology solutions."
12-01-2022,Reuters,"TCS posted strong quarterly earnings with record deal wins, highlighting sustained demand for cloud, analytics, and digital transformation services across global markets despite macroeconomic uncertainties."
11-04-2022,Economic Times,"TCS reported highest-ever annual revenue and strong margins, supported by large contracts and expansion in digital services, reinforcing its position as India’s leading IT services exporter."
27-09-2022,Reuters,"TCS became title sponsor of the London Marathon, strengthening its global brand presence and reinforcing long-term strategy of building visibility across international markets and communities. (Consultancy.uk)"
09-01-2023,Business Standard,"TCS reported stable earnings with strong deal pipeline but cautious outlook due to global recession concerns, indicating potential slowdown in discretionary technology spending by enterprise clients."
24-03-2023,Reuters,"TCS announced CEO transition with K Krithivasan replacing Rajesh Gopinathan, marking a major leadership change aimed at sustaining growth and navigating evolving global technology landscape. (Consultancy.uk)"
12-07-2023,Economic Times,"TCS announced ₹17,000 crore share buyback, returning capital to shareholders while maintaining strong balance sheet and reinforcing confidence in long-term cash flow generation. (Tata Consultancy Services)"
11-10-2023,Mint,"TCS reported steady revenue growth with strong deal wins, despite macroeconomic uncertainties, reflecting resilience in global IT spending and continued demand for digital transformation services."
11-01-2024,Reuters,"TCS reported moderate growth and margin pressure due to delayed client spending and pricing challenges, highlighting early signs of slowdown in global IT demand environment."
28-03-2024,Consultancy UK,TCS opened new co-innovation hub in London to accelerate digital transformation initiatives and strengthen client collaboration in emerging technologies including AI and cloud solutions. (Consultancy.uk)
19-09-2024,Consultancy UK,"TCS secured multiple international deals to enhance digital customer experience platforms, reflecting continued demand for IT modernization services across global financial and retail sectors. (Consultancy.uk)"
19-06-2025,Reuters,"TCS clarified that its systems were not compromised in a cyberattack affecting client Marks & Spencer, reassuring stakeholders about its cybersecurity resilience and operational integrity. (Reuters)"
21-12-2025,Times of India,"TCS reported its artificial intelligence business reaching $1.5 billion annualized revenue, highlighting AI as a key growth driver and central pillar of future strategy. (The Times of India)"
15-07-2025,Economic Times,"TCS planned workforce rationalization and operational adjustments amid global slowdown and AI-driven changes, reflecting structural shifts in IT services industry and evolving talent requirements. (The Economic Times)"
16-05-2015,Economic Times,"ICICI Bank expanded its international presence by opening its first branch in Shanghai, strengthening global operations and enhancing cross-border banking capabilities for corporate and trade finance clients. (Wikipedia)"
20-10-2016,Economic Times,"ICICI Bank was impacted by a major debit card data breach affecting millions of customers, leading to large-scale card replacements and raising concerns over cybersecurity in Indian banking systems. (Wikipedia)"
08-11-2016,Reuters,"Following demonetisation in India, ICICI Bank witnessed surge in deposits and digital transactions as customers shifted toward formal banking channels and electronic payment systems. (Wikipedia)"
25-01-2017,Business Standard,"ICICI Bank reported stable earnings with improving retail loan growth, focusing on strengthening asset quality while managing stress in corporate lending segment during broader banking sector challenges."
27-04-2017,Reuters,"ICICI Bank posted moderate quarterly results with pressure on margins and rising NPAs, reflecting ongoing stress in corporate loan portfolio and need for stronger risk management practices."
15-01-2018,Economic Times,"ICICI Bank continued efforts to improve asset quality and reduce bad loans, focusing on retail lending growth and operational efficiency amid challenges in corporate credit portfolio."
04-10-2018,Reuters,"ICICI Bank CEO Chanda Kochhar resigned following allegations of conflict of interest in loan approvals, triggering governance concerns and leadership transition within the bank. (Wikipedia)"
10-01-2019,Business Standard,"Enforcement Directorate attached assets linked to former CEO Chanda Kochhar in loan fraud case, intensifying regulatory scrutiny and reinforcing governance risks for the bank. (Wikipedia)"
26-01-2019,Mint,"ICICI Bank initiated leadership stabilization under new CEO Sandeep Bakhshi, focusing on restoring investor confidence, improving governance practices, and strengthening core banking operations."
20-07-2019,Economic Times,"ICICI Bank reported improved asset quality with declining NPAs and strong retail loan growth, signaling gradual recovery from previous corporate lending stress and governance issues."
22-06-2020,Business Standard,"ICICI Bank divested stake in ICICI Prudential Life Insurance to raise capital, improving balance sheet strength and focusing on core banking operations. (Wikipedia)"
15-04-2020,Reuters,"ICICI Bank implemented measures to address COVID-19 disruptions, including loan moratoriums and liquidity support, ensuring continuity of operations during economic uncertainty."
25-07-2020,Economic Times,"ICICI Bank reported strong quarterly profit growth driven by improved asset quality and retail lending, marking recovery phase after earlier governance and asset quality challenges."
01-08-2020,Business Standard,"ICICI Bank strengthened digital banking capabilities, expanding mobile and online services to enhance customer experience and support increasing shift toward digital financial transactions."
31-12-2020,Mint,"ICICI Bank ended the year with improved financial performance and stronger balance sheet, reflecting successful turnaround strategy focused on asset quality, governance, and retail banking growth."
24-04-2021,Economic Times,"ICICI Bank reported strong quarterly earnings with significant improvement in asset quality and profitability, reflecting successful turnaround strategy and continued growth in retail lending and digital banking operations."
23-10-2021,Reuters,"ICICI Bank posted robust profit growth driven by higher net interest income and improved asset quality, marking sustained recovery from earlier corporate stress and strengthening investor confidence."
22-01-2022,Business Standard,"ICICI Bank delivered strong quarterly results with declining NPAs and steady loan growth, supported by retail lending expansion and improved credit quality across its loan portfolio."
23-07-2022,Economic Times,"ICICI Bank reported strong earnings growth with improving margins and stable asset quality, positioning itself among leading private banks benefiting from economic recovery and rising credit demand."
21-10-2022,Reuters,"ICICI Bank posted strong quarterly performance with record profit growth and stable margins, driven by robust retail lending and disciplined underwriting practices across its expanding credit portfolio."
22-04-2023,Mint,"ICICI Bank continued strong growth momentum with rising profits and improving asset quality, benefiting from higher loan growth and efficient cost management in a favorable macroeconomic environment."
21-10-2023,Reuters,"ICICI Bank reported strong earnings with improved margins and stable NPAs, reflecting consistent execution strategy and leadership in retail banking and digital transformation initiatives."
20-01-2024,Business Standard,"ICICI Bank posted steady quarterly earnings with continued improvement in asset quality and loan growth, maintaining strong balance sheet and profitability amid evolving economic conditions."
20-04-2024,Reuters,"ICICI Bank delivered consistent profit growth with strong net interest income and stable asset quality, reinforcing its position as one of India’s best-performing private sector banks."
27-07-2024,Economic Times,"ICICI Bank reported robust earnings with continued growth in retail loans and digital banking services, highlighting strong operational efficiency and sustained demand across consumer and business segments."
03-05-2025,Economic Report,"RBI imposed penalty of around ₹97.8 lakh on ICICI Bank for regulatory compliance deficiencies, highlighting need for stronger internal controls and adherence to banking regulations. (Enrich Money)"
08-08-2025,Regulatory News,"RBI imposed additional penalty of ₹75 lakh on ICICI Bank for compliance breaches, reinforcing regulatory scrutiny despite the bank’s otherwise strong financial performance. (CAalley)"
09-06-2025,Economic Times,"ICICI Bank reduced fixed deposit interest rates following RBI repo rate cut, aligning with monetary policy changes and reflecting broader interest rate transmission across banking sector. (The Economic Times)"
01-08-2025,Economic Times,"ICICI Bank began charging payment aggregators for UPI transactions, signaling shift in digital payment monetization strategy and potential changes in cost structure for digital financial services. (The Economic Times)"
27-11-2025,PSU Connect,"RBI imposed penalty of ₹22.73 lakh on ICICI Bank for FEMA-related compliance issues, highlighting continued regulatory oversight and need for strict adherence to foreign exchange regulations. (PSU Connect)"
02-03-2015,Reuters,"Nifty 50 declined sharply amid global market volatility and concerns over US rate hikes, reflecting sensitivity of Indian equities to global monetary policy and foreign investor flows."
29-02-2016,Economic Times,"Nifty 50 experienced volatility around Union Budget announcements, with investor sentiment driven by fiscal policy expectations, tax reforms, and infrastructure spending outlook impacting equity markets."
08-11-2016,Reuters,"Nifty 50 fell sharply following India’s demonetisation announcement, as liquidity disruption and economic uncertainty impacted investor sentiment and led to broad-based selling across sectors."
25-07-2017,Business Standard,"Nifty 50 crossed the 10,000 milestone for the first time, reflecting strong inflows, earnings growth, and optimism around structural reforms and economic recovery in India. (Wikipedia)"
01-02-2018,Economic Times,"Nifty 50 reacted positively to Union Budget expectations but later declined amid concerns over fiscal slippage and global market corrections, highlighting sensitivity to macroeconomic signals."
23-03-2018,Reuters,"Nifty 50 declined amid global trade war fears between the United States and China, reflecting impact of international geopolitical tensions on emerging market equities including India."
20-09-2019,Reuters,"Nifty 50 surged over 6% in a single day after India announced corporate tax cuts, marking one of its biggest gains and boosting investor confidence in economic growth prospects. (Wikipedia)"
15-01-2020,Economic Times,"Nifty 50 reached record highs supported by strong inflows, stable macroeconomic indicators, and optimism around earnings growth across key sectors including banking and IT services."
23-03-2020,Reuters,"Nifty 50 crashed sharply during COVID-19 pandemic as global markets collapsed, reflecting panic selling, economic uncertainty, and massive capital outflows from emerging markets."
25-03-2020,Economic Times,"Nifty 50 rebounded strongly after global stimulus measures, including US economic package, signaling recovery expectations and renewed investor confidence in equity markets. (Wikipedia)"
07-04-2020,Reuters,"Nifty 50 posted one of its largest single-day gains amid optimism around COVID-19 stabilization and stimulus measures, highlighting volatility and rapid sentiment shifts in equity markets. (Wikipedia)"
30-06-2020,Business Standard,"Nifty 50 recovered significantly from pandemic lows, supported by liquidity injections from central banks and strong performance in technology and pharmaceutical sectors."
31-08-2020,Economic Times,"Nifty 50 continued upward momentum driven by global liquidity, retail investor participation, and strong performance of large-cap stocks, especially in technology and financial sectors."
12-10-2020,Reuters,"Nifty 50 crossed pre-COVID levels, signaling strong market recovery despite economic contraction, supported by liquidity, stimulus measures, and improving corporate earnings outlook."
31-12-2020,Mint,"Nifty 50 ended the year with strong gains despite pandemic disruptions, reflecting resilience of equity markets and growing investor confidence in India’s long-term economic recovery."
05-02-2021,Economic Times,"Nifty 50 crossed the 15,000 milestone for the first time, driven by strong liquidity, global stimulus measures, and investor optimism around economic recovery after COVID-19 disruptions. (Wikipedia)"
01-02-2021,Reuters,"Nifty 50 surged sharply following Union Budget announcements, marking one of its best single-day gains, driven by fiscal stimulus expectations and positive investor sentiment toward economic recovery. (Wikipedia)"
19-10-2021,Business Standard,"Nifty 50 reached new record highs supported by strong earnings growth, robust foreign inflows, and continued participation from retail investors amid improving macroeconomic conditions."
24-02-2022,Reuters,"Nifty 50 declined sharply amid global market volatility triggered by Russia-Ukraine conflict, reflecting sensitivity of Indian equities to geopolitical risks and foreign investor outflows."
21-10-2022,Economic Times,"Nifty 50 showed resilience despite global slowdown concerns, supported by strong domestic demand and steady corporate earnings, helping Indian markets outperform several global peers."
11-09-2023,Reuters,"Nifty 50 crossed the 20,000 milestone for the first time, reflecting strong economic growth, corporate earnings expansion, and rising participation from domestic institutional investors. (Wikipedia)"
20-12-2023,Mint,"Nifty 50 continued record-breaking rally driven by banking and financial stocks, supported by strong credit growth, improving asset quality, and sustained domestic investor participation."
01-08-2024,Reuters,"Nifty 50 crossed the 25,000 mark for the first time, marking fastest 5,000-point rally, driven by strong earnings growth, liquidity, and retail investor participation in equity markets. (Moneycontrol)"
29-07-2024,Mint,"Nifty 50 approached 25,000 level amid strong rally driven by retail participation and liquidity, though profit booking led to volatility near record highs in equity markets. (mint)"
20-09-2024,Economic Times,"Nifty 50 reached new record highs above 25,500 levels, reflecting strong domestic flows and optimism around India’s economic growth trajectory and corporate earnings outlook."
15-03-2025,Reuters,"Nifty 50 recovered from earlier declines as foreign investors returned and bargain buying increased, supported by improving macroeconomic indicators and easing inflation concerns. (Reuters)"
